TOSPCD,TOSPDSC
SM721S,"SKULL, BASE, ENDOSCOPIC OR OPEN RESECTION OF SKULL BASE SOFT TISSUE TUMOURS WITH NO BONE INVOLVEMENT"
SM722S,"SKULL, BASE, ENDOSCOPIC OR OPEN RESECTION OF SKULL BASE SOFT TISSUE TUMOURS, (INCLUDING NASOPHARYNGECTOMY) WITH RESECTION OF BONE AND PRESERVATION OF DURA (EXTRADURAL)"
SM723S,"SKULL, BASE, ENDOSCOPIC OR OPEN RESECTION OF SKULL BASE SOFT TISSUE TUMOURS WITH RESECTION OF BONE AND DURA (INTRADURAL, INCLUDING CLIVUS, PARASELLAR AREA OR CAVERNOUS SINUS) WITH SKULL BASE RECONSTRUCTION"
SM700T,"THROAT, HYOID SUSPENSION"
SM701T,"THROAT, UVULOPALATOPHARYNGOPLASTY (U3P)"
SM702T,"THYROGLOSSAL CYST, SISTRUNK OPERATION WITH HYOID BONE REMOVAL"
SM703T,"TONSILS, ABSCESS, DRAINAGE"
SM704T,"TONSILS, HEMORRHAGE, HEMOSTASIS"
SM705T,"TONSILS, VARIOUS LESIONS, REMOVAL WITH/WITHOUT ADENOIDECTOMY"
SM706T,TONGUE SUSPENSION
SM707T,"THROAT, PALATOPLASTY WITH/WITHOUT UVULOPLASTY, USING LASER OR OTHER MODALITIES"
SA700B,BOTULINUM TOXIN THERAPY FOR MOVEMENT DISORDERS
SA701B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (BILATERAL)"
SA702B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (UNILATERAL)"
SA704B,"BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, SINGLE LESION"
SA705B,"BREAST, LUMP (REMOVAL) WITH PARENCHYMAL FLAP CLOSURE (UNILATERAL/BILATERAL)"
SA706B,"BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, > 1 LESIONS"
SA707B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY, WITH SENTINEL NODE BIOPSY/ AXILIARY NODE SAMPLING"
SA708B,"BREAST, VARIOUS LESIONS, PERCUTANEOUS ASPIRATION UNDER ULTRASOUND"
SA709B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)"
SA710B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (SINGLE)"
SA711B,"BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (MULTIPLE)"
SA712B,"BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (SINGLE)"
SA713B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (UNILATERAL)"
SA800B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (BILATERAL)"
SA801B,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (UNILATERAL)"
SA802B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION MAMMOPLASTY >500G (BILATERAL)"
SA803B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION >250G (UNILATERAL)"
SA804B,"BREAST, DROOPING, MASTOPEXY/REDUCTION (BILATERAL)"
SA805B,"BREAST, DROOPING, MASTOPEXY/REDUCTION (UNILATERAL)"
SA806B,"BREAST, GYNECOMASTIA, REDUCTION (BILATERAL)"
SA807B,"BREAST, GYNECOMASTIA, REDUCTION (UNILATERAL)"
SA808B,"BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND BILATERAL)"
SA809B,"BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND UNILATERAL)"
SA810B,"BREAST, INVERTED NIPPLES, SURGICAL EVERSION (BILATERAL)"
SA811B,"BREAST, INVERTED NIPPLE, SURGICAL EVERSION (UNILATERAL)"
SA812B,"BREAST, LUMP (SINGLE), EXCISION BIOPSY"
SA813B,"BREAST, LUMPS (MULTIPLE/BILATERAL), EXCISION BIOPSY"
SA814B,"BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION (BILATERAL)"
SA815B,"BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION (UNILATERAL)"
SA816B,"BREAST, POST MASTECTOMY, LATISSMUS DORSI PEDICLED FLAP WITH OR WITHOUT IMPLANT RECONSTRUCTION (BILATERAL)"
SA817B,"BREAST, POST MASTECTOMY, LATISSMUS DORSI PEDICLED FLAP WITH OR WITHOUT IMPLANT RECONSTRUCTION (UNILATERAL)"
SA818B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (BILATERAL)"
SA819B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING FREE FLAP (UNILATERAL)"
SA820B,"BREAST, POST PROSTHETIC CONTRACTION, CAPSULOTOMY (BILATERAL)"
SA821B,"BREAST, POST PROSTHETIC CONTRACTION, CAPSULOTOMY (UNILATERAL)"
SA822B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY"
SA823B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY, WITH AXILIARY CLEARANCE, WITH/WITHOUT SENTINEL NODE BIOPSY"
SA824B,"BREAST, TUMOR (MALIGNANT), SIMPLE MASTECTOMY WITH AXILIARY CLEARANCE, WITH/WITHOUT SENTINEL NODE BIOPSY"
SA825B,"BREAST, TUMOR (MALIGNANT), RADICAL MASTECTOMY WITH/WITHOUT AXILIARY CLEARANCE"
SA826B,"BREAST, TUMOR (MALIGNANT), SIMPLE MASTECTOMY"
SA827B,"BREAST, TUMOR (MALIGNANT), SIMPLE MASTECTOMY WITH SENTINEL NODE BIOPSY/ AXILIARY NODE SAMPLING"
SA828B,"BREAST, VARIOUS LESIONS, SUBCUTANEOUS MASTECTOMY BILATERAL, EXCLUDING GYNAECOMASTIA"
SA829B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY"
SA830B,"BREAST, VARIOUS LESIONS, SUBCUTANEOUS MASTECTOMY UNILATERAL, EXCLUDING GYNAECOMASTIA"
SA831B,"CONTRALATERAL MASTOPEXY/REDUCTION FOLLOWING BREAST, TUMOUR (MALIGNANT) WIDE EXCISION/LUMPECTOMY/SEGMENTAL OR PARTIAL MASTECTOMY, WITH OR WITHOUT SENTINEL NODE BIOPSY AND/OR AXILLARY CLEARANCE"
SA832B,"IPSILATERAL MASTOPEXY/REDUCTION FOLLOWING BREAST, TUMOUR (MALIGNANT) WIDE EXCISION/LUMPECTOMY/SEGMENTAL OR PARTIAL MASTECTOMY, WITH OR WITHOUT SENTINEL NODE BIOPSY AND/OR AXILLARY CLEARANCE"
SA833B,"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY"
SA834B,"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY WITH SENTINEL NODE BIOPSY/AXILIARY NODE SAMPLING"
SA835B,"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY WITH AXILIARY CLEARANCE, WITH/WITHOUT SENTINEL NODE BIOPSY"
SA800F,"FASCIA (DEEP), RUPTURE WITH HERNIATED MUSCLE, REPAIR"
SA812F,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA, <=50CC"
SA813F,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA, 50 - 100CC"
SA814F,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA, >= 100CC"
SA800H,"HAND, BURNS (MAJOR), EXCISION AND SPLIT SKIN GRAFT"
SA800M,"MUCOUS MEMBRANE (EAR/NOSE/EYELID) AVULSION/COMPLEX LACERATION, FULL THICKNESS REPAIR"
SA801M,"MUCOUS MEMBRANE, DEEP LACERATION/MULTIPLE LACERATIONS, REPAIR"
SA802M,"MUCOUS MEMBRANE, SUPERFICIAL LACERATION EQUAL/LESS THAN 7CM, REPAIR"
SA803M,"MUCOUS MEMBRANE, SUPERFICIAL LACERATION(S) MORE THAN 7 CM, REPAIR"
SA804M,"MUCOUS MEMBRANE, TUMOR/CYST/ULCER/SCAR, EXCISION"
SA805M,"MUSCLE AND DEEP TISSUE, FOREIGN BODY, REMOVAL"
SA700R,"RADIOTHERAPY, ENDOLUMINAL BRACHYTHERAPY: OESOPHAGUS, NASOPHARYNGEAL CARCINOMA (NPC), HEPATOBILIARY, CARDIAC, LUNG, OTHERS"
SA701R,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITH/WITHOUT OPEN SURGERY)"
SA702R,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITHOUT OPEN SURGERY): PROSTATE"
SA703R,"RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (MULTI-CHANNEL): CERVIX, OTHERS"
SA704R,"RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (SINGLE CHANNEL): ENDOMETRIUM, OTHERS"
SA705R,"RADIOTHERAPY, INTRA-OPERATIVE RADIOTHERAPY (ELECTRONS OR KILOVOLTAGE): BREAST, SARCOMA, UPPER GI, LOWER GI, OTHER SITES"
SA700S,"SKIN (UPPER LIMB), OPEN WOUND, MAJOR DESLOUGHING"
SA701S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION BIOPSY, REMOVAL OF 2 OR MORE OR RECURRENT OR COMPLICATED (ADHERENT), EXCISION"
SA702S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION BIOPSY, LESION SIZE MORE THAN 15MM IN DIAMETER"
SA704S,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITHOUT RECONSTRUCTION"
SA705S,"SKIN, DEFECT, DISTANT SKIN FLAPS"
SA706S,"SKIN, DEFECT, NEUROVASCULAR ISLAND FLAP"
SA707S,"SKIN, NEUROMAS/HEMANGIOMAS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC"
SA708S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (<20 SQ CM)"
SA709S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (>40 SQ CM)"
SA710S,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (20-40 SQ CM)"
SA711S,"SOFT TISSUE (LOWER LIMB), CONTRACTURE, MAJOR RELEASE"
SA712S,"SOFT TISSUE (LOWER LIMB), CONTRACTURE, MINOR RELEASE"
SA713S,"SOFT TISSUE (LOWER LIMB), OPEN WOUND/INFECTION, MAJOR DESLOUGHING"
SA714S,"SOFT TISSUE (LOWER LIMB), SMALL TUMORS (BENIGN), EXCISION BIOPSY UNDER GENERAL ANESTHESIA"
SA715S,"SOFT TISSUE (LOWER LIMB), TUMOR/TUMOR-LIKE LESIONS, MARGINAL EXCISION"
SA716S,"SOFT TISSUE (LOWER LIMB), TUMORS (BENIGN), WIDE EXCISION BIOPSY"
SA717S,"SOFT TISSUE (LOWER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY"
SA718S,"SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MAJOR RELEASE"
SA719S,"SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MINOR RELEASE"
SA720S,"SOFT TISSUE (PALMAR SPACE), ABSCESS, DRAINAGE"
SA721S,"SOFT TISSUE (UPPER LIMB), TUMORS (BENIGN), MAJOR EXCISION BIOPSY"
SA722S,"SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY"
SA723S,"SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), WIDE EXCISION BIOPSY"
SA724S,"SOFT TISSUE, TUMOR (MALIGNANT), MAJOR RESECTION AND RECONSTRUCTION (MICROSURGICAL)"
SA725S,"SWEAT GLAND, AXILLARY HYPERHIDROSIS, WEDGE EXCISION (BILATERAL)"
SA726S,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITH RECONSTRUCTION/GRAFT/FLAP (</= 5 TISSUE BLOCKS)"
SA727S,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITH RECONSTRUCTION/GRAFT/FLAP (> 5 TISSUE BLOCKS)"
SA800S,"SKIN AND MUCOUS MEMBRANE, VARIOUS LESIONS, EXCISION BIOPSY"
SA801S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION AND RECONSTRUCTION AND LOCAL FLAP/SKIN GRAFT"
SA802S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION WITH IMMEDIATE BLOCK DISSECTION"
SA803S,"SKIN AND SUBCUTANEOUS TISSUE (EAR/NOSE/EYELID/FACE), COMPLEX LACERATIONS, REPAIR"
SA804S,"SKIN & SUBCUTANEOUS, SCAR REVISION, FACE & NECK (< 3CM)"
SA805S,"SKIN AND SUBCUTANEOUS TISSUE (FACE AND NECK), SCAR OF MORE THAN 3CM, REVISION"
SA806S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (EXTENSIVE)"
SA807S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (LIMITED)"
SA808S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FLAP REPAIR"
SA809S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FULL THICKNESS GRAFT"
SA810S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND SMALL FULL THICKNESS GRAFT"
SA811S,"SKIN AND SUBCUTANEOUS TISSUE, DEEP>3CM/EXTENSIVE CONTAMINATED WOUND, DEBRIDEMENT"
SA812S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DERMOFAT/FASCIA GRAFT (INCLUDING TRANSPLANT/MUSCLE FLAP)"
SA813S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DIRECT FLAP (CROSS ARM/RADIAL FORE ARM/ABDOMINAL/SIMILAR)"
SA814S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DIRECT FLAP REPAIR (CROSS LEG)"
SA815S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE FLAPS"
SA816S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE GRAFT (SPLIT SKIN GRAFT -  EXTENSIVE/INLAY GRAFT USING A MOULD)"
SA817S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), STAGED DISTANT FLAP (DIVISION)"
SA818S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), FREE FULL THICKNESS GRAFT"
SA819S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), STAGED LOCAL FLAP (DIVISION)"
SA820S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (SINGLE DIGIT), FREE FULL THICKNESS GRAFT"
SA821S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, DIRECT FLAP (CROSS FINGER/SIMILAR FLAPS)"
SA822S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFT (SPLIT SKIN GRAFT/PINCH GRAFTS UNDER 1/2%)"
SA823S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT 1/2 TO LESS THAN 2%)"
SA824S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT 2 TO LESS THAN 5%)"
SA825S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT 5 TO 10%)"
SA826S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT MORE THAN 10%)"
SA827S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, LOCAL FLAP TO MULTIPLE DIGITS (CROSS FINGER/THENAR/FLAG/ROTATION FLAP)"
SA828S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, SINGLE STAGE LOCAL FLAP (COMPLICATED/LARGE)"
SA829S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, SINGLE STAGE LOCAL FLAP (SIMPLE/SMALL)"
SA830S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, STAGED LOCAL FLAP(DIVISION)"
SA831S,"SKIN AND SUBCUTANEOUS TISSUE, FOREIGN BODY (SUBCUTANEOUS), REMOVAL"
SA832S,"SKIN AND SUBCUTANEOUS TISSUE, FOREIGN BODY (SUPERFICIAL), REMOVAL"
SA833S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA (SMALL)/FURUNCLE/ABSCESS/SIMILAR LESION, INCISION WITH DRAINAGE"
SA834S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA, ASPIRATION"
SA835S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA (EXTENSIVE AND COMPLEX), EXCISION"
SA836S,"SKIN AND SUBCUTANEOUS TISSUE, ARTEIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA (LARGE AND DEEP-SEATED), EXCISION"
SA837S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA ON FACE, HANDS, GENITALIA, EXCISION"
SA838S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA >3CM EXCLUDING FACE, HANDS, GENITALIA, EXCISION"
SA839S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA <3CM EXCLUDING FACE, HANDS, GENITALIA,  EXCISION"
SA840S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA, ABSCESS/CELLULITIS/SIMILAR LESION<3CM, SAUCERISATION/INCISION & DRAINAGE"
SA841S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA/CARBUNCLE CELLULITIS/SIMILAR LESION>3CM, SAUCERISATION/INCISION WITH DRAINAGE"
SA842S,"SKIN AND  SUBCUTANEOUS TISSUE, LACERATIONS (DEEP >3CM/MULTIPLE) LACERATIONS, REPAIR/TOILET & SUTURE, WITH/WITHOUT DEBRIDEMENT"
SA843S,"SKIN AND SUBCUTANEOUS TISSUE, LACERATION (SUPERFICIAL) OF LESS THAN 7CM, REPAIR"
SA844S,"SKIN AND SUBCUTANEOUS TISSUE, LACERATION (SUPERFICIAL) OF MORE THAN 7CM, REPAIR"
SA845S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (LARGE >3CM AND COMPLICATED/MULTIPLE)"
SA846S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (LARGE)"
SA847S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (MODERATE)"
SA848S,"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (SMALL<3CM)"
SA849S,"SKIN & SUBCUTANEOUS, PRE-SEPTAL/PERI-ORBITAL DERMOID/LESION, EXCISION"
SA850S,"SKIN AND SUBCUTANEOUS TISSUE, SINUS (DEEP>3CM), EXCISION WITH/WITHOUT BIOPSY"
SA851S,"SKIN AND SUBCUTANEOUS TISSUE, SINUS (SHALLOW<3CM), EXCISION WITH/WITHOUT BIOPSY"
SA852S,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE UP TO AND INCLUDING 15MM IN DIAMETER"
SA853S,"SKIN AND SUBCUTANEOUS TISSUE, WOUND, DEBRIDEMENT <3CM"
SA854S,"SKIN AND SUBCUTANEOUS TISSUE, WOUND (LARGE>3CM), SECONDARY SUTURE"
SA855S,"SKIN AND SUBCUTANEOUS TISSUE, WOUND (SMALL<3CM), SECONDARY SUTURE"
SA856S,"SKIN, ANGIOMA, CAUTERISATION/INJECTION"
SA857S,"SKIN, BURNS (2% TO 5%), EXCISION"
SA858S,"SKIN, BURNS (LESS THAN 10%), DRESSING"
SA859S,"SKIN, BURNS (LESS THAN 2%), EXCISION"
SA860S,"SKIN, BURNS (MORE THAN 10%), DRESSING"
SA861S,"SKIN, BURNS (MORE THAN 10%), EXCISION"
SA862S,"SKIN, BURNS (MORE THAN 5% TO 10%) EXCISION"
SA863S,"SKIN, KERATOSES/WARTS/TAGS/SIMILAR LESIONS, EXCISION (6 - 10 LESIONS)"
SA864S,"SKIN, KERATOSES/WARTS/TAGS/SIMILAR LESIONS, EXCISION (MORE THAN10 LESIONS)"
SA865S,"SKIN, KERATOSES/WARTS/TAGS/SIMILAR LESIONS, EXCISION (NOT MORE THAN 5 LESIONS)"
SA866S,"SKIN, PLANTAR WART, EXCISION OR VAPORISATION BY LASER"
SA867S,"SKIN, PLANTAR WARTS (MULTIPLE), EXCISION"
SA868S,"SKIN, SCAR (EXTENSIVE), REVISION"
SA869S,"SKIN, SCAR/VARIOUS LESION (SINGLE), REMOVAL OF TISSUE EXPANDER/PROSTHESIS AND REVISION OF SCAR"
SA870S,"SKIN, SCAR, REVISION WITH Z-PLASTY"
SA871S,"SKIN, SCARS/LESIONS (MULTIPLE), REMOVAL OF TISSUE EXPANDER/PROSTHESIS AND REVISION/EXCISION OF SCARS"
SA872S,"SKIN, SUPERFICIAL NASAL DERMOID, EXCISION"
SA873S,"SKIN, TATTOO (1% TO 2%), LASER EXCISION"
SA874S,"SKIN, TATTOO (LESS THAN 1%), LASER EXCISION"
SA875S,"SKIN, TATTOO (MULTIPLE/MORE THAN 2%), LASER EXCISION"
SA876S,"SKIN, TATTOO, REPEAT LASER EXCISION"
SA877S,"SKIN, VARIOUS LESIONS OF FACE (2 TO 3), EXCISION BIOPSY"
SA878S,"SKIN, VARIOUS LESIONS, ABRASIVE THERAPY (EXTENSIVE)"
SA879S,"SKIN, VARIOUS LESIONS, ABRASIVE THERAPY (LIMITED)"
SA880S,"SKIN, VARIOUS LESIONS, INSERTION OF TISSUE EXPANDER (MULTIPLE)"
SA881S,"SKIN, VARIOUS LESIONS, INSERTION OF TISSUE EXPANDER (SINGLE)"
SA882S,"SKIN, VARIOUS LESIONS, TRIAL DERMABRASION"
SA883S,"SKIN, VARIOUS LESIONS, WOUND INSPECTION/DRESSING/REMOVAL OF SUTURES"
SA884S,"SKIN, VARIOUS LESIONS OF FACE (SINGLE), EXCISION/PUNCH/ SHAVE BIOPSY"
SA885S,"SKIN, VARIOUS LESIONS OF FACE (4 AND ABOVE), EXCISION BIOPSY"
SA886S,"SKIN, WRINKLES, PARTIAL RHYTIDECTOMY"
SA887S,"SKIN, WRINKLES, TOTAL RHYTIDECTOMY"
SA888S,"SOFT TISSUE, TUMOR (MALIGNANT), WIDE EXCISION BIOPSY <7CM OTHER THAN UPPER/LOWER LIMBS"
SA889S,"SOFT TISSUE, TUMOR (MALIGNANT), RADICAL EXCISION BIOPSY >7CM OTHER THAN UPPER/LOWER LIMBS"
SA890S,"SUBCUTANEOUS TISSUE (ABDOMEN), OBESITY, LIPOSUCTION"
SA891S,"SUBCUTANEOUS TISSUE (BUTTOCKS), OBESITY, LIPOSUCTION"
SA892S,"SUBCUTANEOUS TISSUE (FACE), OBESITY, LIPOSUCTION"
SA893S,"SUBCUTANEOUS TISSUE (THIGH), OBESITY, LIPOSUCTION"
SA894S,"SUBCUTANEOUS TISSUE (UPPER LIMBS), OBESITY, LIPOSUCTION"
SA895S,"SUBCUTANEOUS TISSUE, OBESITY, LIPECTOMY, TRANSVERSE WEDGE EXCISION OF ABDOMINAL APRON/LIPECTOMY WITH EXCISION OF SKIN, FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)"
SA896S,"SUBCUTANEOUS TISSUE, OBESITY, LIPECTOMY, EXCISION WITH UNDERMINING OF SKIN EDGES AND STRENGTHENING OF ABDOMINAL WALL/RADICAL ABDOMINOPLASTY WITH REPAIR OF ABDOMINAL WALL AND TRANSPOSITION OF UMBILICUS FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)"
SA898S,"SWEAT GLAND, AXILLARY HYPERHIDROSIS, WEDGE EXCISION (UNILATERAL)"
SA899S,"SKIN, INTRALESIONAL STEROID INJECTION"
SA900S,"SUBCUTANEOUS TISSUE, OBESITY, EXCISION/LIPECTOMY, LIMBS (UNILATERAL/BILATERAL) FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)"
SA901S,"SUBCUTANEOUS TISSUE, OBESITY, EXCISION/LIPECTOMY, THORAX/BACK/BUTTOCKS, FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)"
SA902S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, UP TO 4 SESSIONS IN 12 MONTHS* *TO PROVIDE HISTOPATHOLOGY REPORT IF AUDITED"
SA700T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/LARGE BURSA, (>3CM) EXCISION BIOPSY"
SA800T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/SMALL BURSA, (<3CM) EXCISION BIOPSY"
SB700A,"ANKLE, ANKLE FRACTURE, BIMALLEOLAR, ORIF"
SB701A,"ANKLE, COMMINUTED PLAFOND FRACTURE ORIF"
SB702A,"ANKLE, LIGAMENTOUS INSTABILITY, RECONSTRUCTION OF LIGAMENTS (EG. BOSTROM, CHRISMAN-SNOOK)"
SB703A,"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS, OPEN/MIS/NAVIGATED"
SB704A,"ANKLE, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT, OPEN/MIS/NAVIGATED"
SB705A,"ANKLE, THERAPEUTIC ARTHROSCOPY"
SB746A,"ASPIRATION, DEEP MUSCULOSKELETAL TISSUES, UNDER RADIOLOGICAL GUIDANCE"
SB800A,"ANKLE, DISLOCATION, OPEN REDUCTION"
SB801A,"ANKLE, ANKLE FRACTURE, UNIMALLEOLAR, ORIF"
SB802A,"ANKLE, VARIOUS LESIONS, ARTHRODESIS (SURGICAL FUSION)"
SB803A,"ANKLE, VARIOUS LESIONS, OPEN EXCISION/INTERPOSITION ARTHROPLASTY, WITH OR WITHOUT RESURFACING"
SB804A,"ANKLE, VARIOUS LESIONS, REPAIR OF LIGAMENTS"
